lemmatized,sentiment
без крановый вид хороший,positive
александр но зарплата маленький,neutral
зайти в приложение crew service там весь база за копейка покупать за месяц я так тоже купить пара день поклацать этот тест и пойти сдать на и нефть и химия,neutral
сдавать и на расширить нефть и на начальный газовый как подсказать выше скачать приложение крю сервис там есть раздел какой нужный ты от гмссб до всякий оспс подписка на месяц р нефть сдать на процент газовоз на как проводиться запись по телефон на определённый день приходить с паспорт садиться за комп заходить в система квал испытание под свой ник и чувак запускать ты я потребоваться мина на нефть и мина на газик,neutral
в новоросс только вышка ты делать корочка мёд кто там где быть для рейс делать узнать у компания свой,neutral
и картошка и котлетка,neutral
опять кино про море,neutral
роман а что не нравиться,positive
виктория очень нравиться с г смотреть он,positive
роман а вы сейчас в море,neutral
где русалка и амазонка,neutral
я в лму в год поступить большой смоленский,neutral
я в ссср начать при тот условие жизнида как сейчаснуть,neutral
нетчистый море год,neutral
конечно сейчас на берег нет альтернатива на мой зарплата и близко,neutral
я бы в лётчик пойти,neutral
работать лоцман слава бог сын свой связывать свой жизнь с море не советовать человек должный жить на земля а не на железа,neutral
